1	1	-0.0007	-0.0004	100	518.67	642.21	1586.4	1400.1	14.62	21.61	554.25	2388.1	9050.3	1.3	47.256	522.21	2388	8134.3	8.4087	0.03	391.79	2388	100	38.985	23.397
1	2	0.0019	-0.0003	100	518.67	642.22	1586.4	1400.2	14.62	21.61	554.24	2388.1	9050.3	1.3	47.257	522.21	2388	8134.3	8.4088	0.03	391.79	2388	100	38.985	23.397
1	3	-0.0043	0.0003	100	518.67	642.22	1586.4	1400.2	14.62	21.61	554.23	2388.1	9050.3	1.3	47.258	522.2	2388	8134.2	8.409	0.03	391.8	2388	100	38.984	23.397
1	4	0.0007	0	100	518.67	642.23	1586.4	1400.2	14.62	21.61	554.22	2388.1	9050.3	1.3	47.259	522.19	2388	8134.2	8.4091	0.03	391.8	2388	100	38.984	23.396
1	5	-0.0019	-0.0002	100	518.67	642.23	1586.4	1400.2	14.62	21.61	554.21	2388.1	9050.3	1.3	47.261	522.19	2388.1	8134.1	8.4093	0.03	391.81	2388	100	38.984	23.396
1	6	-0.0043	-0.0001	100	518.67	642.23	1586.4	1400.3	14.62	21.61	554.2	2388.1	9050.3	1.3	47.262	522.18	2388.1	8134.1	8.4094	0.03	391.82	2388	100	38.983	23.395
1	7	0.001	0.0001	100	518.67	642.24	1586.4	1400.3	14.62	21.61	554.19	2388.1	9050.3	1.3	47.263	522.17	2388.1	8134	8.4095	0.03	391.82	2388	100	38.983	23.395
1	8	-0.0034	0.0003	100	518.67	642.24	1586.4	1400.3	14.62	21.61	554.18	2388.1	9050.3	1.3	47.264	522.17	2388.1	8133.9	8.4097	0.03	391.83	2388	100	38.983	23.395
1	9	0.0008	0.0001	100	518.67	642.25	1586.5	1400.3	14.62	21.61	554.17	2388.1	9050.3	1.3	47.265	522.16	2388.1	8133.9	8.4098	0.03	391.83	2388	100	38.983	23.394
1	10	-0.0033	0.0001	100	518.67	642.25	1586.5	1400.3	14.62	21.61	554.16	2388.1	9050.3	1.3	47.267	522.16	2388.1	8133.8	8.41	0.03	391.84	2388	100	38.982	23.394
1	11	0.0018	-0.0003	100	518.67	642.25	1586.5	1400.4	14.62	21.61	554.15	2388.1	9050.3	1.3	47.268	522.16	2388.1	8133.8	8.4101	0.03	391.85	2388	100	38.982	23.393
1	12	0.0016	0.0002	100	518.67	642.26	1586.5	1400.4	14.62	21.61	554.14	2388.1	9050.3	1.3	47.269	522.15	2388.1	8133.7	8.4103	0.03	391.85	2388	100	38.982	23.393
1	13	-0.0019	0.0004	100	518.67	642.26	1586.5	1400.4	14.62	21.61	554.13	2388.1	9050.3	1.3	47.27	522.15	2388.1	8133.6	8.4104	0.03	391.86	2388	100	38.981	23.393
